saddr,uri,version,mtype,token_length,code,mid,token,options,data,data_length,observable,user_inserted
37.235.135.155,/register,1.0,2.0,2.0,4.05 Method Not Allowed,41999.0,bf17,,,0.0,3.0,False
37.235.135.155,/ndm/dis,1.0,2.0,2.0,4.00 Bad Request,58807.0,8607,,,0.0,3.0,False
37.235.135.155,/ndm/ci,1.0,2.0,2.0,4.00 Bad Request,33600.0,2245,,0x1,3.0,3.0,False
37.235.135.155,/mirror,1.0,2.0,2.0,4.05 Method Not Allowed,28063.0,b14d,,,0.0,3.0,False
37.235.135.155,/uhp,1.0,2.0,2.0,4.05 Method Not Allowed,64112.0,948d,,,0.0,3.0,False
37.235.135.155,/ndm/logout,1.0,2.0,2.0,4.05 Method Not Allowed,39219.0,705a,,,0.0,3.0,False
37.235.135.155,/ndm/login,1.0,2.0,2.0,4.05 Method Not Allowed,36160.0,fc49,,,0.0,3.0,False
37.235.135.155,/info,1.0,2.0,2.0,2.05 Content,28075.0,fc4d,"{""CONTENT_FORMAT"": ""TEXT""}","{""cid"":""7cb0e130-8e7c-11e6-8115-c1e8170446e5"",""http_port"":80,""type"":""router"",""name"":""ZyXEL Keenetic Start II"",""version"":""0.3.5-1""}",130.0,3.0,False
37.235.135.155,/,1.0,2.0,2.0,4.04 Not Found,27729.0,24ca,,,0.0,3.0,True
49.148.159.137,/,1.0,2.0,2.0,2.05 Content,42000.0,bf18,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}","This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",127.0,3.0,False
49.148.159.137,/qlink/searchfh,1.0,2.0,2.0,4.05 Method Not Allowed,58808.0,8608,,Method Not Allowed,18.0,3.0,False
49.148.159.137,/qlink/searchgw,1.0,2.0,2.0,4.05 Method Not Allowed,33601.0,2246,,Method Not Allowed,18.0,3.0,False
49.148.159.137,/qlink/request,1.0,2.0,2.0,4.05 Method Not Allowed,28064.0,b14e,,Method Not Allowed,18.0,3.0,False
49.148.159.137,/qlink/success,1.0,2.0,2.0,4.05 Method Not Allowed,64113.0,948e,,Method Not Allowed,18.0,3.0,False
49.148.159.137,/device/inform/bootstrap,1.0,2.0,2.0,4.05 Method Not Allowed,39220.0,705b,,Method Not Allowed,18.0,3.0,False
49.148.159.137,/device/inform/boot,1.0,2.0,2.0,4.05 Method Not Allowed,36161.0,fc4a,,Method Not Allowed,18.0,3.0,False
49.148.159.137,/device/inform/syncreq,1.0,2.0,2.0,4.05 Method Not Allowed,28076.0,fc4e,,Method Not Allowed,18.0,3.0,False
49.148.159.137,/device/inform/offline,1.0,2.0,2.0,4.05 Method Not Allowed,27730.0,24cb,,Method Not Allowed,18.0,3.0,False
49.148.159.137,/device/inform/heartbeat,1.0,2.0,2.0,4.05 Method Not Allowed,11186.0,536c,,Method Not Allowed,18.0,3.0,False
49.148.159.137,/device/inform/data,1.0,2.0,2.0,4.05 Method Not Allowed,9141.0,d1db,,Method Not Allowed,18.0,3.0,False
49.148.159.137,/async,1.0,0.0,2.0,2.05 Content,7197.0,122d,,done,4.0,3.0,False
60.14.140.23,/qlink/searchdevice,1.0,2.0,2.0,4.05 Method Not Allowed,42001.0,bf19,,Method Not Allowed,18.0,3.0,False
60.14.140.23,/qlink/netinfo,1.0,2.0,2.0,4.05 Method Not Allowed,58809.0,8609,,Method Not Allowed,18.0,3.0,False
60.14.140.23,/,1.0,2.0,2.0,4.04 Not Found,33602.0,2247,,Not Found,9.0,3.0,True
49.148.137.14,/,1.0,2.0,2.0,2.05 Content,42002.0,bf1a,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}","This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",127.0,3.0,False
49.148.137.14,/qlink/searchfh,1.0,2.0,2.0,4.05 Method Not Allowed,58810.0,860a,,Method Not Allowed,18.0,3.0,False
49.148.137.14,/qlink/searchgw,1.0,2.0,2.0,4.05 Method Not Allowed,33603.0,2248,,Method Not Allowed,18.0,3.0,False
49.148.137.14,/qlink/request,1.0,2.0,2.0,4.05 Method Not Allowed,28065.0,b14f,,Method Not Allowed,18.0,3.0,False
49.148.137.14,/qlink/success,1.0,2.0,2.0,4.05 Method Not Allowed,64114.0,948f,,Method Not Allowed,18.0,3.0,False
49.148.137.14,/device/inform/bootstrap,1.0,2.0,2.0,4.05 Method Not Allowed,39221.0,705c,,Method Not Allowed,18.0,3.0,False
49.148.137.14,/device/inform/boot,1.0,2.0,2.0,4.05 Method Not Allowed,36162.0,fc4b,,Method Not Allowed,18.0,3.0,False
49.148.137.14,/device/inform/syncreq,1.0,2.0,2.0,4.05 Method Not Allowed,28077.0,fc4f,,Method Not Allowed,18.0,3.0,False
49.148.137.14,/device/inform/offline,1.0,2.0,2.0,4.05 Method Not Allowed,27731.0,24cc,,Method Not Allowed,18.0,3.0,False
