saddr,uri,version,mtype,token_length,code,mid,token,options,data,data_length,observable,user_inserted
83.169.251.174,/register,1,2,2,4.05 Method Not Allowed,39199,bda9,,,0,3,False
83.169.251.174,/ndm/dis,1,2,2,4.00 Bad Request,20893,d629,,,0,3,False
83.169.251.174,/ndm/ci,1,2,2,4.00 Bad Request,45219,f844,,0x1,3,3,False
83.169.251.174,/mirror,1,2,2,4.05 Method Not Allowed,17219,c102,,,0,3,False
83.169.251.174,/uhp,1,2,2,4.05 Method Not Allowed,5768,fb5c,,,0,3,False
83.169.251.174,/ndm/logout,1,2,2,4.05 Method Not Allowed,37263,e272,,,0,3,False
83.169.251.174,/ndm/login,1,2,2,4.05 Method Not Allowed,54811,aa86,,,0,3,False
83.169.251.174,/info,1,2,2,2.05 Content,42629,f8a4,"{""CONTENT_FORMAT"": ""TEXT""}","{""cid"":""ee67ec98-3679-11e6-8115-a904f85963fd"",""http_port"":80,""type"":""router"",""name"":""ZyXEL Keenetic 4G III"",""version"":""0.3.5-1""}",128,3,False
83.169.251.174,/,1,2,2,4.04 Not Found,8545,442a,,,0,3,True
78.31.243.63,/register,1,2,2,4.05 Method Not Allowed,39200,bdaa,,,0,3,False
78.31.243.63,/ndm/dis,1,2,2,4.00 Bad Request,20894,d62a,,,0,3,False
78.31.243.63,/ndm/ci,1,2,2,4.00 Bad Request,45220,f845,,0x1,3,3,False
78.31.243.63,/mirror,1,2,2,4.05 Method Not Allowed,17220,c103,,,0,3,False
78.31.243.63,/uhp,1,2,2,4.05 Method Not Allowed,5769,fb5d,,,0,3,False
78.31.243.63,/ndm/logout,1,2,2,4.05 Method Not Allowed,37264,e273,,,0,3,False
78.31.243.63,/ndm/login,1,2,2,4.05 Method Not Allowed,54812,aa87,,,0,3,False
78.31.243.63,/info,1,2,2,2.05 Content,42630,f8a5,"{""CONTENT_FORMAT"": ""TEXT""}","{""cid"":""9ca22e9c-2b79-11e6-8115-c9a7cc1c6b4d"",""http_port"":80,""type"":""router"",""name"":""ZyXEL Keenetic Lite III"",""version"":""0.3.5-1""}",130,3,False
78.31.243.63,/,1,2,2,4.04 Not Found,8546,442b,,,0,3,True
94.19.220.23,/register,1,2,2,4.05 Method Not Allowed,39201,bdab,,,0,3,False
94.19.220.23,/ndm/dis,1,2,2,4.00 Bad Request,20895,d62b,,,0,3,False
94.19.220.23,/ndm/ci,1,2,2,4.00 Bad Request,45221,f846,,0x1,3,3,False
94.19.220.23,/mirror,1,2,2,4.05 Method Not Allowed,17221,c104,,,0,3,False
94.19.220.23,/uhp,1,2,2,4.05 Method Not Allowed,5770,fb5e,,,0,3,False
94.19.220.23,/ndm/logout,1,2,2,4.05 Method Not Allowed,37265,e274,,,0,3,False
94.19.220.23,/ndm/login,1,2,2,4.05 Method Not Allowed,54813,aa88,,,0,3,False
94.19.220.23,/info,1,2,2,2.05 Content,42631,f8a6,"{""CONTENT_FORMAT"": ""TEXT""}","{""cid"":""c434cefe-d294-11e9-8f23-0d50ed89af63"",""http_port"":80,""type"":""router"",""name"":""Keenetic Start"",""version"":""0.3.5-1""}",121,3,False
94.19.220.23,/,1,2,2,4.04 Not Found,8547,442c,,,0,3,True
83.222.81.192,/register,1,2,2,4.05 Method Not Allowed,39202,bdac,,,0,3,False
83.222.81.192,/ndm/dis,1,2,2,4.00 Bad Request,20896,d62c,,,0,3,False
83.222.81.192,/ndm/ci,1,2,2,4.00 Bad Request,45222,f847,,0x1,3,3,False
83.222.81.192,/mirror,1,2,2,4.05 Method Not Allowed,17222,c105,,,0,3,False
83.222.81.192,/uhp,1,2,2,4.05 Method Not Allowed,5771,fb5f,,,0,3,False
83.222.81.192,/ndm/logout,1,2,2,4.05 Method Not Allowed,37266,e275,,,0,3,False
83.222.81.192,/ndm/login,1,2,2,4.05 Method Not Allowed,54814,aa89,,,0,3,False
83.222.81.192,/info,1,2,2,2.05 Content,42632,f8a7,"{""CONTENT_FORMAT"": ""TEXT""}","{""cid"":""1446cef6-6719-11ea-8f23-27a3a169018a"",""http_port"":80,""type"":""router"",""name"":""Keenetic Omni"",""version"":""0.3.5-1""}",120,3,False
83.222.81.192,/,1,2,2,4.04 Not Found,8548,442d,,,0,3,True
95.183.20.9,/register,1,2,2,4.05 Method Not Allowed,39203,bdad,,,0,3,False
95.183.20.9,/ndm/dis,1,2,2,4.00 Bad Request,20897,d62d,,,0,3,False
95.183.20.9,/ndm/ci,1,2,2,4.00 Bad Request,45223,f848,,0x1,3,3,False
95.183.20.9,/mirror,1,2,2,4.05 Method Not Allowed,17223,c106,,,0,3,False
95.183.20.9,/uhp,1,2,2,4.05 Method Not Allowed,5772,fb60,,,0,3,False
95.183.20.9,/ndm/logout,1,2,2,4.05 Method Not Allowed,37267,e276,,,0,3,False
95.183.20.9,/ndm/login,1,2,2,4.05 Method Not Allowed,54815,aa8a,,,0,3,False
95.183.20.9,/info,1,2,2,2.05 Content,42633,f8a8,"{""CONTENT_FORMAT"": ""TEXT""}","{""cid"":""b92be2d2-db7e-11e6-8115-b55a39d43b95"",""http_port"":80,""type"":""router"",""name"":""ZyXEL Keenetic Lite III"",""version"":""0.3.5-1""}",130,3,False
95.183.20.9,/,1,2,2,4.04 Not Found,8549,442e,,,0,3,True
84.51.107.46,/ndm/dis,1,2,2,4.00 Bad Request,39204,bdae,,,0,3,False
84.51.107.46,/ndm/ci,1,2,2,4.00 Bad Request,20898,d62e,,,0,3,False
84.51.107.46,/uhp,1,2,2,4.05 Method Not Allowed,45224,f849,,,0,3,False
84.51.107.46,/ndm/logout,1,2,2,4.05 Method Not Allowed,17224,c107,,,0,3,False
84.51.107.46,/ndm/login,1,2,2,4.05 Method Not Allowed,5773,fb61,,,0,3,False
84.51.107.46,/info,1,2,2,2.05 Content,37268,e277,"{""CONTENT_FORMAT"": ""TEXT""}","{""eula"":true,""password"":true,""cid"":""95c826c0-5189-11e8-8f23-dbf13dfe357a"",""name"":""Keenetic Extra"",""type"":""router"",""version"":""3.03.C.16.0-1"",""http_port"":80}",155,3,False
84.51.107.46,/,1,2,2,4.04 Not Found,54816,aa8b,,,0,3,True
93.100.148.131,/register,1,2,2,4.05 Method Not Allowed,39205,bdaf,,,0,3,False
93.100.148.131,/ndm/dis,1,2,2,4.00 Bad Request,20899,d62f,,,0,3,False
93.100.148.131,/ndm/ci,1,2,2,4.00 Bad Request,45225,f84a,,0x1,3,3,False
93.100.148.131,/mirror,1,2,2,4.05 Method Not Allowed,17225,c108,,,0,3,False
93.100.148.131,/uhp,1,2,2,4.05 Method Not Allowed,5774,fb62,,,0,3,False
93.100.148.131,/ndm/logout,1,2,2,4.05 Method Not Allowed,37269,e278,,,0,3,False
93.100.148.131,/ndm/login,1,2,2,4.05 Method Not Allowed,54817,aa8c,,,0,3,False
93.100.148.131,/info,1,2,2,2.05 Content,42634,f8a9,"{""CONTENT_FORMAT"": ""TEXT""}","{""cid"":""53c7f982-88fc-11e6-8115-87382b39e4dd"",""http_port"":80,""type"":""router"",""name"":""ZyXEL Keenetic Lite III"",""version"":""0.3.5-1""}",130,3,False
93.100.148.131,/,1,2,2,4.04 Not Found,8550,442f,,,0,3,True
83.221.200.12,/register,1,2,2,4.05 Method Not Allowed,39206,bdb0,,,0,3,False
83.221.200.12,/ndm/dis,1,2,2,4.00 Bad Request,20900,d630,,,0,3,False
83.221.200.12,/ndm/ci,1,2,2,4.00 Bad Request,45226,f84b,,0x1,3,3,False
83.221.200.12,/mirror,1,2,2,4.05 Method Not Allowed,17226,c109,,,0,3,False
83.221.200.12,/uhp,1,2,2,4.05 Method Not Allowed,5775,fb63,,,0,3,False
83.221.200.12,/ndm/logout,1,2,2,4.05 Method Not Allowed,37270,e279,,,0,3,False
83.221.200.12,/ndm/login,1,2,2,4.05 Method Not Allowed,54818,aa8d,,,0,3,False
83.221.200.12,/info,1,2,2,2.05 Content,42635,f8aa,"{""CONTENT_FORMAT"": ""TEXT""}","{""cid"":""358916a6-627b-11e6-8115-d34848d2f1d7"",""http_port"":80,""type"":""router"",""name"":""ZyXEL Keenetic 4G III"",""version"":""0.3.5-1""}",128,3,False
83.221.200.12,/,1,2,2,4.04 Not Found,8551,4430,,,0,3,True
95.71.42.195,/register,1,2,2,4.05 Method Not Allowed,39207,bdb1,,,0,3,False
95.71.42.195,/ndm/dis,1,2,2,4.00 Bad Request,20901,d631,,,0,3,False
95.71.42.195,/ndm/ci,1,2,2,4.00 Bad Request,45227,f84c,,0x1,3,3,False
95.71.42.195,/mirror,1,2,2,4.05 Method Not Allowed,17227,c10a,,,0,3,False
95.71.42.195,/uhp,1,2,2,4.05 Method Not Allowed,5776,fb64,,,0,3,False
95.71.42.195,/ndm/logout,1,2,2,4.05 Method Not Allowed,37271,e27a,,,0,3,False
95.71.42.195,/ndm/login,1,2,2,4.05 Method Not Allowed,54819,aa8e,,,0,3,False
95.71.42.195,/info,1,2,2,2.05 Content,42636,f8ab,"{""CONTENT_FORMAT"": ""TEXT""}","{""cid"":""1964dc5e-ca8d-11e8-8f23-6b6e022eba26"",""http_port"":80,""type"":""router"",""name"":""Keenetic Lite"",""version"":""0.3.5-1""}",120,3,False
95.71.42.195,/,1,2,2,4.04 Not Found,8552,4431,,,0,3,True
79.174.184.183,/register,1,2,2,4.05 Method Not Allowed,39208,bdb2,,,0,3,False
79.174.184.183,/ndm/dis,1,2,2,4.00 Bad Request,20902,d632,,,0,3,False
79.174.184.183,/ndm/ci,1,2,2,4.00 Bad Request,45228,f84d,,0x1,3,3,False
79.174.184.183,/mirror,1,2,2,4.05 Method Not Allowed,17228,c10b,,,0,3,False
79.174.184.183,/uhp,1,2,2,4.05 Method Not Allowed,5777,fb65,,,0,3,False
79.174.184.183,/ndm/logout,1,2,2,4.05 Method Not Allowed,37272,e27b,,,0,3,False
79.174.184.183,/ndm/login,1,2,2,4.05 Method Not Allowed,54820,aa8f,,,0,3,False
79.174.184.183,/info,1,2,2,2.05 Content,42637,f8ac,"{""CONTENT_FORMAT"": ""TEXT""}","{""cid"":""e9a96b6c-eb1c-11ea-8f23-11ca9f3e47b9"",""http_port"":80,""type"":""router"",""name"":""Keenetic Omni"",""version"":""0.3.5-1""}",120,3,False
79.174.184.183,/,1,2,2,4.04 Not Found,8553,4432,,,0,3,True
94.142.248.106,/register,1,2,2,4.05 Method Not Allowed,39209,bdb3,,,0,3,False
94.142.248.106,/ndm/dis,1,2,2,4.00 Bad Request,20903,d633,,,0,3,False
94.142.248.106,/ndm/ci,1,2,2,4.00 Bad Request,45229,f84e,,0x1,3,3,False
94.142.248.106,/mirror,1,2,2,4.05 Method Not Allowed,17229,c10c,,,0,3,False
94.142.248.106,/uhp,1,2,2,4.05 Method Not Allowed,5778,fb66,,,0,3,False
94.142.248.106,/ndm/logout,1,2,2,4.05 Method Not Allowed,37273,e27c,,,0,3,False
94.142.248.106,/ndm/login,1,2,2,4.05 Method Not Allowed,54821,aa90,,,0,3,False
94.142.248.106,/info,1,2,2,2.05 Content,42638,f8ad,"{""CONTENT_FORMAT"": ""TEXT""}","{""cid"":""53c9ecd8-88fc-11e6-8115-1b94bd5d7bd9"",""http_port"":80,""type"":""router"",""name"":""ZyXEL Keenetic Start II"",""version"":""0.3.5-1""}",130,3,False
94.142.248.106,/,1,2,2,4.04 Not Found,8554,4433,,,0,3,True
