saddr,uri,version,mtype,token-length,code,mid,token,options,payload,payload-length,observable,user_inserted
216.165.216.198,/,1.0,2.0,2.0,2.05 Content,42004.0,eeab,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}","This is a test server made with libcoap (see http://libcoap.sf.net)
Copyright (C) 2010--2013 Olaf Bergmann <bergmann@tzi.org>

",127.0,3.0,False
216.165.216.198,/qlink/searchfh,1.0,2.0,2.0,4.05 Method Not Allowed,44460.0,b26d,,Method Not Allowed,18.0,3.0,False
216.165.216.198,/qlink/searchgw,1.0,2.0,2.0,4.05 Method Not Allowed,56220.0,f523,,Method Not Allowed,18.0,3.0,False
216.165.216.198,/qlink/request,1.0,2.0,2.0,4.05 Method Not Allowed,41231.0,49a5,,Method Not Allowed,18.0,3.0,False
216.165.216.198,/qlink/success,1.0,2.0,2.0,4.05 Method Not Allowed,55324.0,2723,,Method Not Allowed,18.0,3.0,False
216.165.216.198,/device/inform/bootstrap,1.0,2.0,2.0,4.05 Method Not Allowed,37481.0,ae55,,Method Not Allowed,18.0,3.0,False
216.165.216.198,/device/inform/boot,1.0,2.0,2.0,4.05 Method Not Allowed,4338.0,bab8,,Method Not Allowed,18.0,3.0,False
216.165.216.198,/device/inform/syncreq,1.0,2.0,2.0,4.05 Method Not Allowed,45521.0,417c,,Method Not Allowed,18.0,3.0,False
216.165.216.198,/device/inform/offline,1.0,2.0,2.0,4.05 Method Not Allowed,10711.0,cfd0,,Method Not Allowed,18.0,3.0,False
216.165.216.198,/device/inform/heartbeat,1.0,2.0,2.0,4.05 Method Not Allowed,12191.0,a9bb,,Method Not Allowed,18.0,3.0,False
216.165.216.198,/device/inform/data,1.0,2.0,2.0,4.05 Method Not Allowed,3655.0,064c,,Method Not Allowed,18.0,3.0,False
216.165.216.198,/device/inform/change,1.0,2.0,2.0,4.05 Method Not Allowed,58914.0,e766,,Method Not Allowed,18.0,3.0,False
216.165.216.198,/async,1.0,0.0,2.0,2.05 Content,65079.0,e88d,,done,4.0,3.0,False
219.131.11.14,/,1.0,2.0,2.0,2.05 Content,42005.0,eeac,"{""CONTENT_FORMAT"": ""TEXT"", ""MAX_AGE"": ""196607""}","This is a test server made with libcoap (see https://libcoap.net)
Copyright (C) 2010--2019 Olaf Bergmann <bergmann@tzi.org> and others

",136.0,3.0,False
219.131.11.14,/qlink/searchdevice,1.0,2.0,2.0,4.05 Method Not Allowed,44461.0,b26e,,Method Not Allowed,18.0,2.0,False
219.131.11.14,/qlink/netinfo,1.0,2.0,2.0,4.05 Method Not Allowed,56221.0,f524,,Method Not Allowed,18.0,2.0,False
219.131.11.14,/qlink/searchack,1.0,2.0,2.0,4.05 Method Not Allowed,41232.0,49a6,,Method Not Allowed,18.0,2.0,False
219.131.11.14,/device/command/unbind,1.0,2.0,2.0,4.05 Method Not Allowed,55325.0,2724,,Method Not Allowed,18.0,2.0,False
219.131.11.14,/device/command/file,1.0,2.0,2.0,4.05 Method Not Allowed,37482.0,ae56,,Method Not Allowed,18.0,2.0,False
219.131.11.14,/device/command/log,1.0,2.0,2.0,4.05 Method Not Allowed,4339.0,bab9,,Method Not Allowed,18.0,2.0,False
219.131.11.14,/device/command/selfdetect,1.0,2.0,2.0,4.05 Method Not Allowed,45522.0,417d,,Method Not Allowed,18.0,2.0,False
219.131.11.14,/qlink/searchdevice?true,1.0,2.0,2.0,4.05 Method Not Allowed,10712.0,cfd1,,Method Not Allowed,18.0,2.0,False
219.131.11.14,/qlink/searchRouter?true,1.0,2.0,2.0,4.05 Method Not Allowed,12192.0,a9bc,,Method Not Allowed,18.0,2.0,False
219.131.11.14,/qlink/guide?true,1.0,2.0,2.0,4.05 Method Not Allowed,3656.0,064d,,Method Not Allowed,18.0,2.0,False
219.131.11.14,/qlink/request?true,1.0,2.0,2.0,4.05 Method Not Allowed,58915.0,e767,,Method Not Allowed,18.0,2.0,False
219.131.11.14,/apdevice/control/WiFiParameterSync,1.0,2.0,2.0,4.05 Method Not Allowed,5097.0,e88e,,Method Not Allowed,18.0,2.0,False
219.131.11.14,/apdevice/control/WiFiSwitch,1.0,2.0,2.0,4.05 Method Not Allowed,40009.0,199b,,Method Not Allowed,18.0,2.0,False
219.131.11.14,/apdevice/control/RadioConfig,1.0,2.0,2.0,4.05 Method Not Allowed,31997.0,9c7b,,Method Not Allowed,18.0,2.0,False
219.131.11.14,/apdevice/control/WPS,1.0,2.0,2.0,4.05 Method Not Allowed,60338.0,3744,,Method Not Allowed,18.0,2.0,False
219.131.11.14,/apdevice/control/MacFilter,1.0,2.0,2.0,4.05 Method Not Allowed,6443.0,85c2,,Method Not Allowed,18.0,2.0,False
219.131.11.14,/apdevice/control/Reboot,1.0,2.0,2.0,4.05 Method Not Allowed,2850.0,c26d,,Method Not Allowed,18.0,2.0,False
219.131.11.14,/apdevice/control/LEDControl,1.0,2.0,2.0,4.05 Method Not Allowed,35634.0,11ba,,Method Not Allowed,18.0,2.0,False
219.131.11.14,/apdevice/control/RoamingConfig,1.0,2.0,2.0,4.05 Method Not Allowed,23441.0,41c7,,Method Not Allowed,18.0,2.0,False
