saddr,uri,version,mtype,token-length,code,mid,token,options,payload,payload-length,observable,user_inserted
94.130.169.171,/api,1,2,2,4.05 Method Not Allowed,23137,cac6,,,0,3,False
94.130.169.171,/api/v1,1,2,2,4.00 Bad Request,1133,ab64,,,0,2,False
94.130.169.171,/efento,1,2,2,4.00 Bad Request,59600,614b,,,0,2,False
94.130.169.171,/efento/c,1,2,2,4.00 Bad Request,13591,ea42,,,0,3,False
94.130.169.171,/efento/i,1,2,2,4.00 Bad Request,6709,0f9e,,,0,3,False
94.130.169.171,/efento/m,1,2,2,4.00 Bad Request,63959,3704,,,0,3,False
94.130.169.171,/efento/t,1,2,2,2.05 Content,52179,d7ad,"{""OBSERVE"": ""0""}",b'h\xf7Y\x1e',4,1,False
94.130.169.171,/fw,1,0,2,4.01 Unauthorized,27297,945b,,,0,2,False
94.130.169.171,/sw,1,0,2,4.01 Unauthorized,35098,96b6,,,0,2,False
94.130.169.171,/,1,2,2,2.05 Content,30612,e742,"{""CONTENT_FORMAT"": ""TEXT""}","****************************************************************
CoAP RFC 7252
****************************************************************
This server is using the Eclipse Californium (Cf) CoAP framework
published under EPL+EDL: http://www.eclipse.org/californium/

(c) 2014-2023 Institute for Pervasive Computing, ETH Zurich
              and others
****************************************************************",420,3,True
92.205.234.156,/fw,1,0,2,4.01 Unauthorized,42150,cac7,,,0,3,False
92.205.234.156,/efento,1,2,2,4.00 Bad Request,1134,ab65,,,0,3,False
92.205.234.156,/efento/c,1,2,2,4.00 Bad Request,59601,614c,,,0,3,False
92.205.234.156,/efento/i,1,2,2,4.00 Bad Request,13592,ea43,,,0,3,False
92.205.234.156,/efento/m,1,2,2,4.00 Bad Request,6710,0f9f,,,0,3,False
92.205.234.156,/efento/t,1,2,2,2.05 Content,63960,3705,"{""OBSERVE"": ""0""}",b'h\xf7Y\x1e',4,1,False
92.205.234.156,/sw,1,0,2,4.01 Unauthorized,26918,d7ae,,,0,3,False
92.205.234.156,/api,1,2,2,4.05 Method Not Allowed,24993,945c,,,0,3,False
92.205.234.156,/api/v1,1,2,2,4.00 Bad Request,10856,96b7,,,0,3,False
92.205.234.156,/.well-known/core,1,2,2,2.05 Content,30613,e743,"{""CONTENT_FORMAT"": ""LINKFORMAT""}","</fw>,</efento>,</efento/c>,</efento/i>,</efento/m>,</efento/t>,</sw>,</api>,</api/v1>,</.well-known/core>",106,3,False
