saddr,uri,version,mtype,token-length,code,mid,token,options,payload,payload-length,observable,user_inserted
183.221.123.220,/device/inform/data,1.0,2.0,2.0,2.05 Content,7987.0,c269,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
183.237.2.70,/device/inform/data,1.0,2.0,2.0,2.05 Content,7988.0,c26a,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
177.23.17.22,/device/inform/data,1.0,2.0,2.0,2.05 Content,42260.0,0ca9,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
183.222.84.238,/device/inform/data,1.0,2.0,2.0,2.05 Content,7990.0,c26c,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
183.221.174.72,/device/inform/data,1.0,2.0,2.0,2.05 Content,7991.0,c26d,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
183.222.86.224,/device/inform/data,1.0,2.0,2.0,2.05 Content,7992.0,c26e,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
183.220.223.95,/device/inform/data,1.0,2.0,2.0,2.05 Content,7993.0,c26f,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
183.236.64.91,/device/inform/data,1.0,2.0,2.0,2.05 Content,42265.0,0cae,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
183.238.251.46,/device/inform/data,1.0,2.0,2.0,2.05 Content,7995.0,c271,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
183.221.3.204,/device/inform/data,1.0,2.0,2.0,2.05 Content,7999.0,c275,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
191.96.200.192,/device/inform/data,1.0,2.0,2.0,2.05 Content,42271.0,0cb4,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
